Type,Day,Rodent,iter,"[-10.0,-9.5)","[-9.5,-9.0)","[-9.0,-8.5)","[-8.5,-8.0)","[-8.0,-7.5)","[-7.5,-7.0)","[-7.0,-6.5)","[-6.5,-6.0)","[-6.0,-5.5)","[-5.5,-5.0)","[-5.0,-4.5)","[-4.5,-4.0)","[-4.0,-3.5)","[-3.5,-3.0)","[-3.0,-2.5)","[-2.5,-2.0)","[-2.0,-1.5)","[-1.5,-1.0)","[-1.0,-0.5)","[-0.5,0.0)","[0.0,0.5)","[0.5,1.0)","[1.0,1.5)","[1.5,2.0)","[2.0,2.5)","[2.5,3.0)","[3.0,3.5)","[3.5,4.0)","[4.0,4.5)","[4.5,5.0)","[5.0,5.5)","[5.5,6.0)","[6.0,6.5)","[6.5,7.0)","[7.0,7.5)","[7.5,8.0)","[8.0,8.5)","[8.5,9.0)","[9.0,9.5)","[9.5,10.0)"
WT,Day11,152,0,0.22753999472839548,0.49185686826463326,0.131929527409678,0.3767701900385618,0.8167232086607861,0.25399939006253736,0.5674118013645221,0.2884304523561092,0.9628126495275362,0.6785662106324901,0.11775483318172497,0.19470372356392074,0.3343755769062743,0.868603422524523,0.17978594813289184,0.8489443601744701,0.6312621524225491,0.11817880663844549,0.11402872687843502,0.033292028515690464,0.8702717205551536,0.928745823730995,0.9158425933431654,0.2847650562814772,0.010482730892606651,0.8803793883368685,0.4003392116666321,0.19434426074356803,0.8448336239855153,0.8053724486631155,0.5322696551608299,0.24629800943197133,0.809975750507302,0.3785657854221075,0.7168433563774503,0.6358742631683619,0.7438231106685906,0.8639952825072752,0.48741955607461096,0.5465357044389794
WT,Day11,153,0,0.9747529130750192,0.9519135360995631,0.5257829893024528,0.9188985919911242,0.3417175114976605,0.27221292769266203,0.5438914104750477,0.3329642842957261,0.12275774636295989,0.7151162610158893,0.31288581932094583,0.6822530716926266,0.380248755127785,0.0988623674094935,0.2714452435859337,0.0406322146503002,0.3563854833555953,0.019302089596642702,0.36285353212204274,0.18051133744857173,0.5409869076755991,0.26632208137105273,0.27064138891262457,0.9220359102768634,0.35064713991088026,0.5839749849160063,0.23530718198484812,0.9872903231950441,0.570653574154843,0.9463260568177658,0.30065149317026707,0.3485924152789103,0.042773749893139756,0.2815295151134033,0.12375441197190895,0.17689402429280565,0.382062369093333,0.8652296404211414,0.6511256178929358,0.2881019630225744
WT,Day11,174,0,0.4567615972904675,0.6834819633554666,0.9910538294007862,0.9279985887472285,0.5568418265334132,0.07350862412618564,0.295203947495732,0.07308867512350581,0.8045851842249594,0.9975020926140462,0.31254130429820415,0.8509851687526987,0.8091447493761654,0.4339134337068401,0.7576192252378398,0.5816409467487246,0.5837696492560484,0.021690505211494293,0.6675547053469371,0.5230629809635808,0.3950951279414082,0.6233643375461598,0.23185090473183012,0.5510594151754437,0.8732473151684843,0.6710687837611005,0.6185935204462292,0.09474583044965801,0.7036398386347001,0.1116242423738627,0.05444043552971389,0.21248540199424693,0.5934584860525768,0.18697921967007014,0.5358814078371309,0.33379274220063504,0.27252181818762145,0.3935663049400371,0.2055443621782217,0.00010613269537285142
WT,Day11,175,0,0.8581610482029599,0.14847478220411947,0.7740328722169242,0.20895676758582893,0.1623488585643147,0.791998789825347,0.36930376907991513,0.3666390132963613,0.4957197850084093,0.24991289819076,0.1354796264798258,0.6959209465418472,0.8279533011195204,0.6233960378347011,0.39236163909798605,0.5516882914981535,0.08975076612704092,0.9074737874906196,0.30514088888289737,0.29104890703986297,0.36867354368022776,0.5723365024204133,0.20779373712080174,0.5780406033786745,0.07040174564173585,0.2673258814153314,0.08437853777402526,0.8556611460742576,0.6691905370762806,0.06970602188941044,0.29269595953135596,0.11625591231574339,0.9860354693576018,0.8671199976028543,0.5895820308716258,0.5749624828623877,0.3193912587794502,0.8766098925402922,0.5159694573615387,0.13778651475234138
WT,Day11,177,0,0.7488962970303785,0.10811462036236252,0.9042442622956648,0.5185208973370478,0.8512402001516836,0.48643816345161806,0.16573895134032202,0.5040406957533455,0.4303003455401191,0.45182732227352707,0.5684286094731095,0.7149445475592552,0.4091878948686022,0.7630463552453876,0.1506826496069722,0.5250434281812193,0.4355458307785738,0.3113625694574471,0.9513365952526435,0.8298106640732981,0.7918725088620866,0.09272031174132145,0.848139031205128,0.7422248090330144,0.30313593858523047,0.4519052054658934,0.6171552389258482,0.36049791755907645,0.18821197543492985,0.8862304897206442,0.205057568019956,0.7784814178287928,0.27530675527445647,0.9536770489423589,0.4660693405005635,0.3085536842359752,0.7987446539962826,0.18341135727821345,0.31044880406619,0.40601757595369004
WT,Day11,180,0,0.8674641242606714,0.05387121238989612,0.4832598642243955,0.36869397127110193,0.7550032227719697,0.742531587086204,0.9019469886413534,0.3352966483927685,0.40828595845815674,0.5228988938244551,0.23584505077799178,0.12155215784578033,0.9250407271386688,0.9379108191242685,0.9161548152481681,0.09706000588136177,0.32082905845284393,0.9846188794519275,0.5063032499900586,0.7680139284660531,0.11302724532147013,0.2751597992555256,0.4101449862623556,0.5802903730522158,0.19542557986056197,0.8764727986545738,0.19885678554246078,0.6256221476439948,0.6591463324563247,0.35711662507280495,0.8018866584205929,0.6467388697433486,0.40434446308406635,0.44736319245622413,0.63430717938746,0.5266548222724196,0.7838142416761966,0.04594021472784704,0.9112887648605476,0.7690589001979086
WT,Day11,181,0,0.2471865198050941,0.016041010105223297,0.5954669334340056,0.7476655540211423,0.006538045544558724,0.002507645681133819,0.7024271556627674,0.19176674174736608,0.474609505083443,0.2903538965447656,0.24812180918307858,0.5875695915493171,0.9555664864113638,0.9465752048866174,0.8663269449235685,0.3047327831810567,0.07944472344957754,0.1500999541720789,0.7687370033125128,0.29125779506017413,0.6078223599470024,0.2290094667336745,0.14307091964147656,0.03919978891628784,0.5564834923887871,0.9625313209252317,0.4067314897727279,0.963427138319613,0.831139505082616,0.9565363369327012,0.007077048292893462,0.057958383588483486,0.38535874594342423,0.05449972618602328,0.9730797016373619,0.2183877569352397,0.4513963658999539,0.8995636689216363,0.6027938177829106,0.5473558223165593
D1,Day11,D1#14,0,0.263557006774203,0.9005875230561606,0.19277727635797293,0.08609719288558193,0.0480060974908314,0.23087957763068723,0.8639186700898832,0.08529702322858057,0.12762073466953083,0.16659759773692573,0.6312520324470416,0.46296668087394577,0.6856399767614353,0.9533806353445742,0.6792739676975506,0.778733202388267,0.158223203686641,0.5241309338031866,0.8123778221589484,0.22751926876573847,0.13590221441532446,0.43953145853358544,0.07816407878132381,0.136638911628418,0.2777999951721841,0.6533145846935114,0.21879841691502677,0.6677406371399944,0.8512208295862225,0.36428445724062664,0.1851486260141305,0.11962162783471564,0.4492573724853045,0.7335245858838562,0.2798096497884347,0.027911616894366054,0.6426001851101913,0.012551016677872284,0.07856570913407612,0.7489147795109008
D1,Day11,D1#15,0,0.6123741168141503,0.385335265328835,0.020197472051854848,0.022569483984254624,0.404511257406199,0.48783206845252636,0.058590803041183914,0.545220970708291,0.5404212435372874,0.8474829233300449,0.12311195496609528,0.6869753627668946,0.790385089945102,0.6319641176897273,0.4672030152789828,0.25313427878819494,0.6220074142187445,0.5748124736993387,0.5115001076652126,0.5004382169236218,0.6242112269334676,0.9457611758514706,0.1579735632597149,0.05360079157191411,0.5937706210239653,0.07313491620169499,0.498359217120802,0.3413157908396178,0.882861472940061,0.51836329061666,0.15339962521320805,0.9406885192324308,0.28190974672087454,0.4194329599750737,0.9579213207845193,0.9015204318987589,0.636734687921176,0.22511381285379073,0.23259522956689294,0.5336677715678436
D1,Day11,D1#21,0,0.5355623360645022,0.4906830440999783,0.7080328386723939,0.789388674079941,0.8207477559559367,0.029877399233478985,0.8452218619113439,0.3939191145762375,0.2962756321579133,0.22525221791443462,0.3114427750714569,0.3556696720218905,0.22140858612399172,0.13587727177473674,0.04486482915477952,0.3136256880679258,0.4909707429030872,0.8988678278983536,0.9646676051326207,0.479047241547218,0.4325335395552484,0.8937833475184855,0.8373390193092892,0.008644230448629053,0.9486286700711245,0.5268569818867479,0.9143492362403414,0.4047346312632101,0.5996523924562585,0.6509346053408562,0.5185401755736109,0.4870372285388702,0.03926774348888329,0.9100329788800438,0.9451377074999726,0.12722419430970233,0.3043942526578446,0.7716457348327397,0.9443725294134898,0.45696347801385173
