Type,Day,Rodent,iter,"[-10.0,-9.5)","[-9.5,-9.0)","[-9.0,-8.5)","[-8.5,-8.0)","[-8.0,-7.5)","[-7.5,-7.0)","[-7.0,-6.5)","[-6.5,-6.0)","[-6.0,-5.5)","[-5.5,-5.0)","[-5.0,-4.5)","[-4.5,-4.0)","[-4.0,-3.5)","[-3.5,-3.0)","[-3.0,-2.5)","[-2.5,-2.0)","[-2.0,-1.5)","[-1.5,-1.0)","[-1.0,-0.5)","[-0.5,0.0)","[0.0,0.5)","[0.5,1.0)","[1.0,1.5)","[1.5,2.0)","[2.0,2.5)","[2.5,3.0)","[3.0,3.5)","[3.5,4.0)","[4.0,4.5)","[4.5,5.0)","[5.0,5.5)","[5.5,6.0)","[6.0,6.5)","[6.5,7.0)","[7.0,7.5)","[7.5,8.0)","[8.0,8.5)","[8.5,9.0)","[9.0,9.5)","[9.5,10.0)"
WT,Day11,152,0,0.42522682096426545,0.6904973921127415,0.0895730185842033,0.922646885651974,0.8259748715227249,0.4396307169142756,0.4043819328954593,0.501505493465505,0.9391434524250318,0.47247997801531094,0.8705256704780272,0.2980781534871505,0.6522797428073955,0.423188510052805,0.6713645392127445,0.4667980332882762,0.17137497930312906,0.05216003586385409,0.9163823429970389,0.12871585674481767,0.5355563222669142,0.6690708030901957,0.7097639384501135,0.7881810227224427,0.9725847040377869,0.837015309485647,0.7863222985883308,0.8224747119861175,0.7780266030315871,0.2756255002194312,0.21096016550812058,0.9437699974089715,0.145269647374489,0.9627002038955242,0.4115502740243093,0.48312324825781283,0.8780469326693496,0.17001875584666293,0.10207395858391077,0.8627321935436404
WT,Day11,153,0,0.2310851406676192,0.15670573908604146,0.561625560959528,0.8110075252875966,0.7076410865238846,0.535641910190059,0.7447621062683307,0.6278436480562352,0.8867808763232801,0.8278393958382113,0.137269647648517,0.4470675594755762,0.2532351754333042,0.11216047491135106,0.15231242408638757,0.8063564261344613,0.5167132454200056,0.03450583543699626,0.04676858203694356,0.3043443168457822,0.2894476501001826,0.671939873888443,0.6611214346282566,0.46063265481701465,0.44033732217717514,0.09728315098813722,0.2073450417403112,0.9349554342705054,0.17270914866958853,0.852291391915023,0.6372889279005416,0.7351061144748788,0.18039925979887883,0.5575461429260175,0.8302517838975,0.0580165969213664,0.047876209575355655,0.7614176902727703,0.1465112542535918,0.34692150805867616
WT,Day11,174,0,0.876407152831153,0.6725216615151101,0.4107696766815395,0.483169010135717,0.19288070527563916,0.10518017739135743,0.8237338349504251,0.7485806806894051,0.5552720023602786,0.570408014018648,0.6451516712389637,0.23341690139986027,0.8346163104292337,0.015667736185862702,0.3934429897894228,0.16170168025419784,0.49666715564611186,0.3390236870643496,0.6642316880877797,0.8118981084486158,0.5927126367989498,0.92023327897963,0.2330793052247755,0.032782025603322884,0.9706668425844254,0.7934275118282553,0.2544399179788729,0.810548097871241,0.9334470161945374,0.26276146029705605,0.2750389411802655,0.9470327546015062,0.9835253645568742,0.41916402369593764,0.941562087346567,0.9572953255456961,0.8035239069458986,0.01829085898123972,0.07840076160457421,0.14260211368401998
WT,Day11,175,0,0.21376124773393435,0.27539900364173087,0.14926514664440038,0.8057122692694948,0.40181052009909923,0.7038621482371726,0.06410497912948154,0.7529344851199773,0.9160190811343569,0.9788442554395499,0.8509238585565426,0.839156030920422,0.2557774198882059,0.6817478865372151,0.2937769927483518,0.6778912856197653,0.8365660107751302,0.813060032991174,0.7376017707724546,0.061929877556350266,0.7578507041937098,0.1476260634544303,0.8496657768212623,0.6707558463314317,0.7813522867480334,0.1376915939225406,0.11155968554560025,0.4821017235031314,0.4628134829449996,0.6483995536241692,0.45257880248019344,0.8906628863057023,0.0006645277462709043,0.5174207476372963,0.6520294825831303,0.18645125263581364,0.3731796263870901,0.31142718143838477,0.5674723508333379,0.6121366190371621
WT,Day11,177,0,0.8056061244682174,0.47435369283596973,0.6309500022256619,0.7584547910985389,0.1899727498979057,0.604469298249618,0.19259664732349335,0.7751958913351741,0.3446639429368653,0.2010048158396771,0.08164650965837239,0.7770655688990897,0.18993701296476106,0.9953844383621824,0.837774270565953,0.23697798401460113,0.26368710866826983,0.7432809055564238,0.39281740301472334,0.7477367070024075,0.6647736264829293,0.6416126892452927,0.21627163956055517,0.5932392643220159,0.19455410814394947,0.11784387899517845,0.5588605883909441,0.9068209955134757,0.8102440756876136,0.8666542048142305,0.014945131756227137,0.35721686368917127,0.718294783771441,0.33707457848918254,0.3734562141236031,0.21259193175248392,0.06960528303688884,0.3257049789180293,0.7580439602017596,0.04405579835284745
WT,Day11,180,0,0.7675658369942291,0.872094083364985,0.4327146261660313,0.1613414007006263,0.7832097361025696,0.8722798310898261,0.7669097355670894,0.4646081661366168,0.2477084287850042,0.853651785036878,0.2878057655843411,0.06743675228641566,0.73642599329691,0.6226740710170672,0.33275001060075493,0.3773743519145021,0.278479713839733,0.9720844192480814,0.8903834763959043,0.42033704826326557,0.9264859239494924,0.6379406992642315,0.8126054321503127,0.3620585293904105,0.33975555823855086,0.6528915224172297,0.3337835787809199,0.9289662653271287,0.366017605062091,0.746065750771865,0.1165483197668612,0.8180169422465694,0.033915790901097864,0.3131043593374636,0.36271120752065256,0.5094895748515457,0.21824771234731843,0.4004698933169579,0.3018478198929503,0.7003353139578982
WT,Day11,181,0,0.49059245452203115,0.6210336564441827,0.42439638945083424,0.7169643830930998,0.4724309375914614,0.5208659391499803,0.28522149055012747,0.0006462864054970208,0.7841488752092446,0.30751992224302493,0.33369274993226694,0.9287053143195313,0.30944362624144683,0.875371584358943,0.46062037994941274,0.4419709336554697,0.6026318867697623,0.6160177804673642,0.7273120476570201,0.9205569532558606,0.595164513631832,0.32346049795885623,0.13661621743160313,0.9239200294521229,0.7310242753581692,0.15108123535118034,0.4112111692023651,0.11046757019149356,0.35241184837424167,0.08575015312640255,0.9266709127963185,0.9665090497663519,0.3402800124683676,0.7084886447344464,0.08373488924333661,0.6854431082606305,0.33222465312994776,0.2811127362251056,0.7832357440126422,0.8367493984578549
D1,Day11,D1#14,0,0.8735683824857015,0.9234478247241197,0.29279540522678804,0.9789228830093848,0.9876497876417696,0.2610619653648022,0.11787104496746259,0.4493061520537228,0.3266123130111461,0.9998865657134023,0.532957050921299,0.8163047199116183,0.2956023238536951,0.058333921417952905,0.4037701268205329,0.19357914155192835,0.1684369646606274,0.7631658047257653,0.907634561273915,0.09181894167387339,0.40858183495280054,0.9919082729681195,0.7178336177139807,0.2064094004236514,0.06945472113137674,0.14059648521435664,0.5290875752510664,0.04383171211343839,0.005676120812249885,0.3876788234725168,0.6574264430347234,0.6371644656862163,0.37453139512266864,0.5126951096987286,0.2731885462749537,0.48222645450548585,0.5992452406202501,0.5447744921211148,0.7773064695498362,0.11519569717016931
D1,Day11,D1#15,0,0.6327148372500256,0.01468318841290095,0.6752166258590525,0.2978466983278357,0.9691509085656084,0.015644778763050815,0.7423967157611217,0.4516017988272508,0.6095575407423481,0.4986228197028938,0.12205049248325972,0.20365963255325614,0.21476444903335445,0.4036434706082207,0.9103072586289622,0.30514326202218,0.8934641237349518,0.4402196958409077,0.6322357944165304,0.16223134010877072,0.10789088944301328,0.43928393439335534,0.590286813829241,0.08177200474988178,0.9058608977089365,0.813307752378669,0.9185614117079545,0.25523875196176804,0.4692880031307667,0.7533653636313395,0.4828676505633739,0.014681162383596291,0.7617729720655259,0.39486399271586325,0.45928081271547183,0.5982733302029255,0.22648791852998262,0.5533405599562805,0.6689621636488342,0.7663616992781013
D1,Day11,D1#21,0,0.5024406709176289,0.11639383497502187,0.0019006026613361815,0.1979956812239677,0.03329431955324802,0.903090789226009,0.30905462252006444,0.623782878251469,0.0552935231017867,0.47514982730031063,0.03900642288456735,0.41393180154136056,0.6605986993797394,0.23839171617220434,0.9365110070959413,0.23651434878452715,0.1871802433846389,0.6592604492179391,0.9754640558805914,0.2583589537127958,0.8377145725514026,0.2202248222456189,0.575062757302613,0.5257485335080492,0.6181954992243673,0.6724348908223596,0.531965674810416,0.4862683390533329,0.7337805886179851,0.47200256136535823,0.721055981132804,0.2618570091279887,0.25234434995014854,0.13397632627328282,0.08349632683818797,0.748000391311659,0.7838224407155567,0.21321404836763624,0.8570331388095126,0.8517205064516036
