Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,0.071631,-0.037125,-0.011346,-0.01684,0.027519,0.0029205,0.01306
0.2,0.07239,-0.037201,-0.0080205,-0.016743,0.025536,0.0032113,0.013617
0.3,0.073881,-0.03767,-0.0040899,-0.018086,0.021902,0.0017982,0.014371
0.4,0.075426,-0.03768,-0.0064037,-0.022662,0.016001,-0.0002263,0.012701
0.5,0.075168,-0.038307,-0.0078382,-0.023701,0.015238,-0.0023404,0.012014
0.6,0.074623,-0.0394,-0.0084987,-0.021332,0.017448,-0.0044609,0.019404
0.7,0.072765,-0.037067,-0.010072,-0.019433,0.018863,0.002146,0.012629
0.8,0.06881,-0.038259,-0.012381,-0.013816,0.018751,0.010535,0.010193
0.9,0.066412,-0.041257,-0.0075061,-0.012419,0.019205,0.0091516,0.0048808
1,0.064383,-0.045269,-0.0030336,-0.015496,0.011825,0.0026757,0.0031341
1.1,0.064288,-0.040499,-0.012078,-0.01887,0.015593,0.005975,-0.0022239
1.2,0.064041,-0.03535,-0.018699,-0.026242,0.011517,0.0066182,-0.0035447
1.3,0.063504,-0.035819,-0.023225,-0.027258,0.011086,-0.0027102,-0.0041252
1.4,0.063549,-0.035547,-0.018835,-0.027758,0.0092258,0.0037961,-0.0062773
1.5,0.065262,-0.036082,-0.012717,-0.026251,0.0085104,0.0078685,-0.0049638
1.6,0.065834,-0.045521,0.0018091,-0.019793,0.0053247,0.0023473,-0.0055737
1.7,0.065075,-0.044966,0.0042745,-0.016192,0.0083726,0.0045437,-0.0030444
1.8,0.06075,-0.042715,0.010402,-0.016398,0.0035457,0.0071654,0.0017212
1.9,0.058198,-0.03713,0.0037227,-0.018802,0.0026128,0.0079319,0.0029034
2,0.056759,-0.036344,0.0031017,-0.017142,0.0050118,0.0080078,0.0040441
2.1,0.055788,-0.034039,0.0033946,-0.016151,0.0082323,0.0097637,0.0035326
2.2,0.050845,-0.038665,0.0039961,-0.0044434,0.01866,0.0041347,0.010217
2.3,0.050529,-0.039129,0.0053362,-0.0031501,0.020371,0.0049657,0.010341
2.4,0.050679,-0.039478,0.0063277,-0.0027341,0.020982,0.0057437,0.010833
2.5,0.05403,-0.037932,0.014094,-0.0067708,0.018567,0.010545,0.0077493
2.6,0.054517,-0.037555,0.014627,-0.0075276,0.017347,0.0098983,0.0074905
2.7,0.05426,-0.037298,0.014762,-0.0080562,0.016465,0.0087419,0.0072164
2.8,0.053639,-0.036919,0.015371,-0.0080978,0.016628,0.0082665,0.0067239
2.9,0.050328,-0.038301,0.01615,-0.0053834,0.017449,0.0039009,0.0056622
3,0.050392,-0.038085,0.017599,-0.0059567,0.017912,0.0050339,0.0044521
3.1,0.050506,-0.037736,0.01819,-0.0067414,0.017704,0.0055147,0.0037449
3.2,0.050725,-0.036674,0.018369,-0.0083593,0.016537,0.0054542,0.0031083
3.3,0.050052,-0.032307,0.015894,-0.014737,0.012008,0.0044999,0.0028047
3.4,0.049784,-0.03294,0.016134,-0.015112,0.012759,0.0048179,0.00219
3.5,0.04932,-0.034275,0.016543,-0.016349,0.013219,0.0053259,0.0015179
3.6,0.048725,-0.036624,0.016502,-0.017425,0.01494,0.0049891,0.0013244
3.7,0.046821,-0.041751,0.016007,-0.01812,0.024402,0.0056463,-0.0051276
3.8,0.044045,-0.047268,0.014062,-0.022999,0.027467,0.0027282,-0.0014738
3.9,0.041757,-0.052193,0.012701,-0.027954,0.029759,-0.00087769,0.0027114
4,0.040276,-0.05605,0.012221,-0.032751,0.030598,-0.0045763,0.0068041
4.1,0.038916,-0.057147,0.0089288,-0.03024,0.035394,-0.0016867,0.0089105
4.2,0.037993,-0.058828,-0.0022609,-0.027259,0.038422,-0.0085423,0.012399
4.3,0.038985,-0.061303,-0.005872,-0.02876,0.023579,-0.017399,-0.00061135
4.4,0.038903,-0.056333,-0.0043443,-0.033953,0.017316,-0.023093,-0.0096942
4.5,0.043322,-0.05311,-0.0034543,-0.034812,0.0079321,-0.024188,-0.013319
4.6,0.044165,-0.052317,-0.0029708,-0.035187,0.0066268,-0.02381,-0.014102
4.7,0.047781,-0.056393,-0.011776,-0.027742,0.01542,-0.01433,-0.010977
4.8,0.045088,-0.057832,-0.01203,-0.028129,0.022218,-0.012197,-0.0087125
4.9,0.035381,-0.052007,0.00065324,-0.041409,0.030801,-0.013069,-0.0046655
5,0.038855,-0.051916,0.0059228,-0.038532,0.02056,-0.017395,-0.011354
5.1,0.039081,-0.053562,0.0077553,-0.037446,0.014177,-0.019297,-0.010831
5.2,0.041729,-0.055238,-0.00085032,-0.038789,0.021059,0.00062931,-0.0028656
5.3,0.041408,-0.057086,0.0011166,-0.039309,0.019002,0.00044555,0.0032046
5.4,0.038907,-0.057956,0.0027979,-0.039601,0.016691,-0.00037428,0.0095091
5.5,0.028891,-0.057941,-0.00041297,-0.042594,0.017842,0.0048002,0.016578
5.6,0.018001,-0.057543,0.00091539,-0.036432,0.022495,0.0062585,0.021761
5.7,0.0099562,-0.057141,-0.000544,-0.034875,0.018757,0.0061685,0.025418
5.8,0.0013205,-0.058175,0.00058269,-0.034807,0.01305,0.0038139,0.027211
5.9,-0.002332,-0.054698,0.0043185,-0.038479,0.015175,0.0013291,0.020135
6,-0.003994,-0.056314,0.006712,-0.038021,0.019452,-0.0013515,0.013712
6.1,0.014861,-0.056019,0.0033335,-0.038885,0.018702,0.0049983,-0.0020411
6.2,0.020161,-0.055731,0.0041869,-0.036784,0.01572,0.0068031,-0.0061351
6.3,0.027045,-0.052875,0.0061799,-0.034116,0.005174,0.009169,-0.00044296
6.4,0.028749,-0.048044,0.008006,-0.02854,-0.001913,0.011771,0.003409
6.5,0.028946,-0.039007,0.0053008,-0.016451,-0.00060055,0.013352,-0.00048935
6.6,0.025586,-0.041393,0.0019652,-0.008017,0.0052005,0.016664,-0.0030024
6.7,0.024441,-0.041197,0.00040975,-0.0058996,0.0065208,0.018059,-0.0047307
