Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0,-0.0064436,0.019655,0.029103,-0.013307,-0.00073425,0.014542,0.002548
0.1,-0.0062044,0.019381,0.028902,-0.013151,-0.00063043,0.014431,0.0030706
0.2,-0.0053572,0.02184,0.029335,-0.0068531,-0.00043189,0.012455,0.0040728
0.3,-0.0043432,0.021996,0.029281,-0.005467,-0.00065436,0.011624,0.0064508
0.4,-0.0041007,0.021932,0.029159,-0.0050385,-0.00059833,0.01144,0.006936
0.5,-0.0040561,0.021205,0.028922,-0.00593,-0.00033431,0.011559,0.0072022
0.6,-0.0040551,0.020237,0.028595,-0.0070404,0.00018947,0.011714,0.0073855
0.7,-0.0040847,0.019485,0.028206,-0.0076629,0.00064051,0.011845,0.0072063
0.8,-0.0058652,0.017084,0.026255,-0.010398,0.0001818,0.015026,0.0025131
0.9,-0.0066589,0.017402,0.025322,-0.0093077,-6.25E-05,0.015632,-0.00034971
1,-0.0069049,0.018226,0.024563,-0.0079126,0.00049481,0.015679,-0.0015021
1.1,-0.0067622,0.018838,0.023458,-0.007113,0.00082464,0.016116,-0.00054512
1.2,-0.0059382,0.018891,0.023034,-0.0068643,0.00050269,0.015504,0.0011344
1.3,-0.0049993,0.018391,0.022635,-0.0074223,-0.00022967,0.014764,0.0033963
1.4,-0.0031032,0.017612,0.021805,-0.0072059,-0.0034325,0.013995,0.0066153
1.5,-0.0021745,0.017177,0.021207,-0.0070899,-0.0048837,0.013739,0.0072352
1.6,-0.0024074,0.013686,0.020555,-0.0098879,-0.0063712,0.014305,0.0062742
1.7,-0.0027351,0.013283,0.020458,-0.010305,-0.0063362,0.014118,0.0062639
1.8,-0.0039215,0.014822,0.020351,-0.011964,-0.0046634,0.011866,0.0086167
1.9,-0.0045808,0.014762,0.021005,-0.012475,-0.0036769,0.011397,0.0085509
2,-0.0053017,0.014468,0.021923,-0.01272,-0.003079,0.011605,0.006808
2.1,-0.0054719,0.014738,0.022251,-0.011866,-0.0029756,0.011265,0.0062011
2.2,-0.0057639,1.64E-02,0.023137,-0.0075317,-0.0035668,0.010384,0.0043191
2.3,-0.0055271,0.01674,0.02286,-0.0063245,-0.0035168,0.0094424,0.0041279
2.4,-0.0054629,0.015934,0.02241,-0.0078927,-0.0039402,0.0077675,0.0048295
2.5,-0.0063271,0.016591,0.021348,-0.0093477,-0.0033279,0.0074953,0.002807
2.6,-0.0068267,0.016313,0.020708,-0.0097688,-0.0036879,0.0080404,0.0022271
2.7,-0.0072165,0.015783,0.020215,-0.01003,-0.0040766,0.0087188,0.002087
2.8,-0.0078485,0.015084,0.019917,-0.0098847,-0.0042856,0.010021,0.0023202
2.9,-0.0067475,1.53E-02,0.020853,-0.0083147,-0.0050446,0.0096338,0.0033211
3,-0.0057825,0.016959,0.020097,-0.0072733,-0.0038585,0.0093298,0.0012187
3.1,-0.0064978,0.010936,0.020775,-0.011376,-0.0050045,0.012819,0.0049727
3.2,-0.0069475,0.010813,0.019643,-0.012501,-0.0048317,0.012646,0.0040068
3.3,-0.0071674,0.010389,0.018614,-0.012308,-0.0055154,0.012201,0.005813
3.4,-0.0078792,0.010434,0.017182,-0.012038,-0.0043811,0.013064,0.0043504
3.5,-0.0076938,0.013478,0.015664,-0.012564,-0.0033294,0.011427,0.0030838
3.6,-0.0082137,0.011125,0.016901,-0.011311,-0.0046255,0.013318,0.0032752
3.7,-0.0084972,0.011677,0.016608,-0.010899,-0.004943,0.013388,0.0023919
3.8,-0.0089945,0.010774,0.01637,-0.01106,-0.005297,0.012626,0.0031002
3.9,-0.010367,0.0089317,0.016845,-0.010986,-0.0071833,0.0099517,0.0038811
4,-1.09E-02,0.0087181,0.017458,-0.010326,-0.0074498,0.0096738,0.0045986
4.1,-0.011185,0.0078523,0.019314,-0.0087013,-0.0060816,0.0071807,0.0028852
4.2,-0.011963,0.0084912,0.019372,-0.0083761,-0.0054461,0.0058369,0.0022337
4.3,-0.014452,0.0094977,0.019078,-0.0055847,-0.0063944,0.0070647,0.0024121
4.4,-0.015766,0.009386,0.018394,-0.0050598,-0.0063396,0.0079022,0.0037512
4.5,-0.015599,0.009364,1.81E-02,-0.0031214,-0.0084946,0.007371,0.0059869
4.6,-0.015966,0.010051,0.018656,-0.00052285,-0.0091093,0.0046913,0.0064364
4.7,-0.016287,0.010019,0.018673,4.25E-06,-0.0089035,0.0029488,0.0071314
4.8,-0.017724,0.0093579,0.018184,-0.0028315,-0.0055247,-0.00052977,0.0086624
4.9,-0.018471,0.0082474,0.016721,-0.0052888,-0.0042567,0.0014205,0.010451
5,-0.01941,0.0069493,0.015269,-0.0072337,-0.00314,0.0018579,0.012969
5.1,-0.019597,0.0059828,0.015291,-0.0062723,-0.0045033,0.0015914,0.012708
5.2,-0.01961,0.0053932,0.014543,-0.0021257,-0.00016395,-0.0018854,0.016394
5.3,-0.019646,0.0047742,0.014481,-0.0035778,-0.00038195,-0.0014655,0.016614
5.4,-0.020267,0.0048783,0.014226,-0.0039912,0.00011557,-0.00051996,0.016517
5.5,-0.02088,0.0053483,0.014271,-0.0029823,0.0011495,-0.00011598,0.016098
5.6,-0.021215,0.0065838,0.015089,-0.0020177,0.0014153,-0.00024288,0.014681
5.7,-0.021243,0.0074367,0.01329,-0.0010547,0.0021055,0.0014638,0.016174
5.8,-0.019787,0.0079632,0.011494,-0.0023836,1.42E-05,0.0029743,0.017471
5.9,-0.019683,0.0073502,0.013165,-0.0034927,-0.0008998,0.00081016,0.016229
6,-0.019698,0.0072997,0.013241,-0.0022415,-0.00043667,0.0002565,0.016322
6.1,-0.018681,0.0071225,0.01194,-0.00034127,-0.0010119,0.00049841,0.017598
6.2,-0.017192,0.0061589,0.012433,0.0035896,-0.0056253,0.0020288,0.015775
6.3,-0.017215,0.0059248,0.012469,0.0036352,-0.0060991,0.0018348,0.015703
6.4,-0.017412,0.0058878,0.012954,0.0039286,-0.0065089,0.002357,0.01513
6.5,-0.017625,0.0059717,0.0136,0.0042749,-0.0066483,0.0031979,0.01477
6.6,-0.017421,0.0059251,0.013292,0.0042094,-0.0064724,0.0028587,0.014962
6.7,-0.017177,0.0057835,0.012706,0.0040067,-0.0065536,0.0020982,0.015184
6.8,-0.017148,0.0056191,0.012227,0.003701,-0.0068891,0.0012808,0.015027
6.9,-0.017461,0.0055514,0.012226,0.0033966,-0.0071663,0.00099923,0.01472
7,-0.01801,0.0056318,0.01281,0.0032787,-0.0072477,0.0015408,0.014429
7.1,-0.018857,0.0066576,0.01311,0.0031004,-0.0069119,0.0027205,0.01404
7.2,-0.019111,0.0067244,0.013413,0.0031644,-0.0070911,0.0029939,0.013974
7.3,-0.019128,0.0068067,0.013619,0.0031454,-0.0071265,0.0030976,0.014063
7.4,-0.019099,0.0067528,0.013582,0.0031413,-0.0071075,0.003082,0.01401
7.5,-0.018647,7.43E-03,0.01491,0.0043033,-0.0081352,0.0036853,0.0098348
